Year,Gebietseinheit,GeoCode,Value
Veränderung aktuelles Jahr (2020) zu 2010,Wesermarsch,K03461,31
Veränderung aktuelles Jahr (2020) zu 2010,Wittmund,K03462,20
Veränderung aktuelles Jahr (2020) zu 2010,Statistische Region Weser-Ems,K034,904
Veränderung aktuelles Jahr (2020) zu 2010,Niedersachsen,K030,3569
Veränderung aktuelles Jahr (2020) zu 2019,Braunschweig  Stadt,K03101,127
Veränderung aktuelles Jahr (2020) zu 2019,Salzgitter  Stadt,K03102,6
Veränderung aktuelles Jahr (2020) zu 2019,Wolfsburg  Stadt,K03103,-16
Veränderung aktuelles Jahr (2020) zu 2019,Gifhorn,K03151,8
Veränderung aktuelles Jahr (2020) zu 2019,Goslar,K03153,4
Veränderung aktuelles Jahr (2020) zu 2019,Helmstedt,K03154,37
Veränderung aktuelles Jahr (2020) zu 2019,Northeim,K03155,23
Veränderung aktuelles Jahr (2020) zu 2019,Peine,K03157,63
Veränderung aktuelles Jahr (2020) zu 2019,Wolfenbüttel,K03158,16
Veränderung aktuelles Jahr (2020) zu 2019,Göttingen,K03159,24
Veränderung aktuelles Jahr (2020) zu 2019,Statistische Region Braunschweig,K031,196
Veränderung aktuelles Jahr (2020) zu 2019,Hannover  Region,K03241,492
Veränderung aktuelles Jahr (2020) zu 2019,dav. Hannover  Lhst.,K03241001,273
Veränderung aktuelles Jahr (2020) zu 2019,dav. Hannover  Umland,K03241999,49
Veränderung aktuelles Jahr (2020) zu 2019,Diepholz,K03251,73
Veränderung aktuelles Jahr (2020) zu 2019,Hameln-Pyrmont,K03252,85
Veränderung aktuelles Jahr (2020) zu 2019,Hildesheim,K03254,52
Veränderung aktuelles Jahr (2020) zu 2019,Holzminden,K03255,9
Veränderung aktuelles Jahr (2020) zu 2019,Nienburg (Weser),K03256,68
Veränderung aktuelles Jahr (2020) zu 2019,Schaumburg,K03257,100
Veränderung aktuelles Jahr (2020) zu 2019,Statistische Region Hannover,K032,879
Veränderung aktuelles Jahr (2020) zu 2019,Celle,K03351,168
