Year,AGS,Nationalität,Gebietseinheit,GeoCode,Value
2007,358,Ausländerinnen und Ausländer,Heidekreis,K03358,23
2007,359,Ausländerinnen und Ausländer,Stade,K03359,31
2007,360,Ausländerinnen und Ausländer,Uelzen,K03360,20
2007,361,Ausländerinnen und Ausländer,Verden,K03361,46
2007,3,Ausländerinnen und Ausländer,Statistische Region Lüneburg,K033,374
2007,401,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,28
2007,402,Ausländerinnen und Ausländer,Emden  Stadt,K03402,16
2007,403,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,95
2007,404,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,75
2007,405,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,16
2007,451,Ausländerinnen und Ausländer,Ammerland,K03451,20
2007,452,Ausländerinnen und Ausländer,Aurich,K03452,60
2007,453,Ausländerinnen und Ausländer,Cloppenburg,K03453,44
2007,454,Ausländerinnen und Ausländer,Emsland,K03454,89
2007,455,Ausländerinnen und Ausländer,Friesland,K03455,18
2007,456,Ausländerinnen und Ausländer,Grafschaft Bentheim,K03456,109
2007,457,Ausländerinnen und Ausländer,Leer,K03457,40
2007,458,Ausländerinnen und Ausländer,Oldenburg,K03458,30
2007,459,Ausländerinnen und Ausländer,Osnabrück,K03459,87
2007,460,Ausländerinnen und Ausländer,Vechta,K03460,86
2007,461,Ausländerinnen und Ausländer,Wesermarsch,K03461,28
2007,462,Ausländerinnen und Ausländer,Wittmund,K03462,9
2007,4,Ausländerinnen und Ausländer,Statistische Region Weser-Ems,K034,850
2007,0,Ausländerinnen und Ausländer,Niedersachsen,K030,2385
2008,101,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,67
2008,102,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,32
2008,103,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,50
2008,151,Ausländerinnen und Ausländer,Gifhorn,K03151,34
2008,153,Ausländerinnen und Ausländer,Goslar,K03153,39
2008,154,Ausländerinnen und Ausländer,Helmstedt,K03154,16
2008,155,Ausländerinnen und Ausländer,Northeim,K03155,55
2008,157,Ausländerinnen und Ausländer,Peine,K03157,28
2008,158,Ausländerinnen und Ausländer,Wolfenbüttel,K03158,9
2008,159,Ausländerinnen und Ausländer,Göttingen,K03159,117
2008,1,Ausländerinnen und Ausländer,Statistische Region Braunschweig,K031,447
2008,241,Ausländerinnen und Ausländer,Hannover  Region,K03241,395
2008,241001,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,237
2008,241999,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,158
2008,251,Ausländerinnen und Ausländer,Diepholz,K03251,61
2008,252,Ausländerinnen und Ausländer,Hameln-Pyrmont,K03252,75
2008,254,Ausländerinnen und Ausländer,Hildesheim,K03254,109
2008,255,Ausländerinnen und Ausländer,Holzminden,K03255,10
2008,256,Ausländerinnen und Ausländer,Nienburg (Weser),K03256,34
2008,257,Ausländerinnen und Ausländer,Schaumburg,K03257,50
2008,2,Ausländerinnen und Ausländer,Statistische Region Hannover,K032,734
2008,351,Ausländerinnen und Ausländer,Celle,K03351,33
2008,352,Ausländerinnen und Ausländer,Cuxhaven,K03352,44
2008,353,Ausländerinnen und Ausländer,Harburg,K03353,62
2008,354,Ausländerinnen und Ausländer,Lüchow-Dannenberg,K03354,3
2008,355,Ausländerinnen und Ausländer,Lüneburg,K03355,21
2008,356,Ausländerinnen und Ausländer,Osterholz,K03356,22
2008,357,Ausländerinnen und Ausländer,Rotenburg (Wümme),K03357,23
2008,358,Ausländerinnen und Ausländer,Heidekreis,K03358,22
2008,359,Ausländerinnen und Ausländer,Stade,K03359,38
2008,360,Ausländerinnen und Ausländer,Uelzen,K03360,21
2008,361,Ausländerinnen und Ausländer,Verden,K03361,33
2008,3,Ausländerinnen und Ausländer,Statistische Region Lüneburg,K033,322
2008,401,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,25
2008,402,Ausländerinnen und Ausländer,Emden  Stadt,K03402,17
2008,403,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,80
2008,404,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,89
2008,405,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,9
2008,451,Ausländerinnen und Ausländer,Ammerland,K03451,22
2008,452,Ausländerinnen und Ausländer,Aurich,K03452,33
2008,453,Ausländerinnen und Ausländer,Cloppenburg,K03453,39
2008,454,Ausländerinnen und Ausländer,Emsland,K03454,108
2008,455,Ausländerinnen und Ausländer,Friesland,K03455,15
2008,456,Ausländerinnen und Ausländer,Grafschaft Bentheim,K03456,100
2008,457,Ausländerinnen und Ausländer,Leer,K03457,36
2008,458,Ausländerinnen und Ausländer,Oldenburg,K03458,28
2008,459,Ausländerinnen und Ausländer,Osnabrück,K03459,83
2008,460,Ausländerinnen und Ausländer,Vechta,K03460,88
2008,461,Ausländerinnen und Ausländer,Wesermarsch,K03461,26
2008,462,Ausländerinnen und Ausländer,Wittmund,K03462,17
2008,4,Ausländerinnen und Ausländer,Statistische Region Weser-Ems,K034,815
2008,0,Ausländerinnen und Ausländer,Niedersachsen,K030,2318
2009,101,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,63
2009,102,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,20
2009,103,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,28
2009,151,Ausländerinnen und Ausländer,Gifhorn,K03151,12
2009,153,Ausländerinnen und Ausländer,Goslar,K03153,43
2009,154,Ausländerinnen und Ausländer,Helmstedt,K03154,14
2009,155,Ausländerinnen und Ausländer,Northeim,K03155,35
2009,157,Ausländerinnen und Ausländer,Peine,K03157,23
2009,158,Ausländerinnen und Ausländer,Wolfenbüttel,K03158,25
2009,159,Ausländerinnen und Ausländer,Göttingen,K03159,115
2009,1,Ausländerinnen und Ausländer,Statistische Region Braunschweig,K031,378
2009,241,Ausländerinnen und Ausländer,Hannover  Region,K03241,394
2009,241001,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,246
2009,241999,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,148
2009,251,Ausländerinnen und Ausländer,Diepholz,K03251,61
