Year,Höchster beruflicher Abschluss,Migrationshintergrund,Geschlecht,Units,Value
2022,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,30.9432255145895
2022,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,26.1554701048028
2021,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,40.099806825499
2021,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,34.9806825499034
2021,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,24.9114616870573
2019,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,36.43
2019,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,33.77
2019,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,29.8
2018,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,35.28
2018,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,36.61
2018,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,28.11
2017,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,33.03
2017,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,39.79
2017,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,27.18
2016,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,37.09
2016,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,38.32
2016,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,24.59
2015,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,35.66
2015,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,38.6
2015,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,25.74
2014,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,35.1
2014,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,40.51
2014,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,24.39
2013,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,35.22
2013,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,42.93
2013,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,21.86
2012,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,39.84
2012,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,40.79
2012,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,19.37
2011,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,36.21
2011,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,45.69
2011,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,18.1
2005,Ohne Abschluss1),mit Migrationshintergrund,Frauen,%,49.6560392107803
2005,Abgeschlossene Berufsausbildung,mit Migrationshintergrund,Frauen,%,37.4966278592614
2005,Tertiärer Abschluss,mit Migrationshintergrund,Frauen,%,12.8473329299583
2025,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,12.3623717288918
2025,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,56.6342285019182
2025,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,31.0018402420386
2024,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,15.8631203960874
2024,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,53.7887936239585
2024,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,30.3480859799541
2023,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,17.555060480555
2023,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,53.7596626844694
2023,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,28.6852768349756
2022,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,19.0380640586576
2022,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,54.1194574777847
2022,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,26.8424784635578
2021,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,17.620068222296
2021,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,56.5822440909228
2021,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,25.7976876867812
2019,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,14.03
2019,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,52.18
2019,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,33.79
2018,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,14.77
2018,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,53.64
2018,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,31.58
2017,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,15.47
2017,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,53.59
2017,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,30.95
2016,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,16.14
2016,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,55.07
2016,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,28.78
2015,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,14.59
2015,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,54.45
2015,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,30.96
2014,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,14.99
2014,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,57.02
2014,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,27.99
2013,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,15.73
2013,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,58.89
2013,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,25.38
2012,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,14.73
2012,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,58.91
2012,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,26.36
2011,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,14.82
2011,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,60.75
2011,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,24.43
2005,Ohne Abschluss1),ohne Migrationshintergrund,Insgesamt,%,17.6277665618852
2005,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Insgesamt,%,63.9142755706801
2005,Tertiärer Abschluss,ohne Migrationshintergrund,Insgesamt,%,18.4579578674347
2025,Ohne Abschluss1),ohne Migrationshintergrund,Männer,%,13.7971698113208
2025,Abgeschlossene Berufsausbildung,ohne Migrationshintergrund,Männer,%,58.4179970972424
