Year,Gebietseinheit,Units,GeoCode
2010,"Braunschweig, Stadt",%,K03101
2010,"Salzgitter, Stadt",%,K03102
2010,"Wolfsburg, Stadt",%,K03103
2010,"Gifhorn",%,K03151
2010,"Goslar",%,K03153
2010,"Helmstedt",%,K03154
2010,"Northeim",%,K03155
2010,"Peine",%,K03157
2010,"Wolfenbüttel",%,K03158
2010,"Göttingen",%,K03159
2010,"Statistische Region Braunschweig",%,K031
2010,"Hannover  Region",%,K03241
2010,"dav. Hannover, Lhst.",%,K03241001
2010,"dav. Hannover, Umland",%,K03241999
2010,"Diepholz",%,K03251
2010,"Hameln-Pyrmont",%,K03252
2010,"Hildesheim",%,K03254
2010,"Holzminden",%,K03255
2010,"Nienburg (Weser)",%,K03256
2010,"Schaumburg",%,K03257
2010,"Statistische Region Hannover",%,K032
2010,"Celle",%,K03351
2010,"Cuxhaven",%,K03352
2010,"Harburg",%,K03353
2010,"Lüchow-Dannenberg",%,K03354
2010,"Lüneburg",%,K03355
2010,"Osterholz",%,K03356
2010,"Rotenburg (Wümme)",%,K03357
2010,"Heidekreis",%,K03358
2010,"Stade",%,K03359
2010,"Uelzen",%,K03360
2010,"Verden",%,K03361
2010,"Statistische Region Lüneburg",%,K033
2010,"Delmenhorst, Stadt",%,K03401
2010,"Emden  Stadt",%,K03402
2010,"Oldenburg(Oldb), Stadt",%,K03403
2010,"Osnabrück, Stadt",%,K03404
2010,"Wilhelmshaven, Stadt",%,K03405
2010,"Ammerland",%,K03451
2010,"Aurich",%,K03452
2010,"Cloppenburg",%,K03453
2010,"Emsland",%,K03454
2010,"Friesland",%,K03455
2010,"Grafschaft Bentheim",%,K03456
2010,"Leer",%,K03457
2010,"Oldenburg",%,K03458
2010,"Osnabrück",%,K03459
2010,"Vechta",%,K03460
2010,"Wesermarsch",%,K03461
2010,"Wittmund",%,K03462
2010,"Statistische Region Weser-Ems",%,K034
2010,"Niedersachsen",%,K030
2011,"Braunschweig, Stadt",%,K03101
2011,"Salzgitter, Stadt",%,K03102
2011,"Wolfsburg, Stadt",%,K03103
2011,"Gifhorn",%,K03151
2011,"Goslar",%,K03153
2011,"Helmstedt",%,K03154
2011,"Northeim",%,K03155
2011,"Peine",%,K03157
2011,"Wolfenbüttel",%,K03158
2011,"Göttingen",%,K03159
2011,"Statistische Region Braunschweig",%,K031
2011,"Hannover  Region",%,K03241
2011,"dav. Hannover, Lhst.",%,K03241001
2011,"dav. Hannover, Umland",%,K03241999
2011,"Diepholz",%,K03251
2011,"Hameln-Pyrmont",%,K03252
2011,"Hildesheim",%,K03254
2011,"Holzminden",%,K03255
2011,"Nienburg (Weser)",%,K03256
2011,"Schaumburg",%,K03257
2011,"Statistische Region Hannover",%,K032
2011,"Celle",%,K03351
2011,"Cuxhaven",%,K03352
2011,"Harburg",%,K03353
2011,"Lüchow-Dannenberg",%,K03354
2011,"Lüneburg",%,K03355
2011,"Osterholz",%,K03356
2011,"Rotenburg (Wümme)",%,K03357
2011,"Heidekreis",%,K03358
2011,"Stade",%,K03359
2011,"Uelzen",%,K03360
2011,"Verden",%,K03361
2011,"Statistische Region Lüneburg",%,K033
2011,"Delmenhorst, Stadt",%,K03401
2011,"Emden  Stadt",%,K03402
2011,"Oldenburg(Oldb), Stadt",%,K03403
2011,"Osnabrück, Stadt",%,K03404
2011,"Wilhelmshaven, Stadt",%,K03405
2011,"Ammerland",%,K03451
2011,"Aurich",%,K03452
2011,"Cloppenburg",%,K03453
2011,"Emsland",%,K03454
2011,"Friesland",%,K03455
2011,"Grafschaft Bentheim",%,K03456
2011,"Leer",%,K03457
2011,"Oldenburg",%,K03458
2011,"Osnabrück",%,K03459
2011,"Vechta",%,K03460
2011,"Wesermarsch",%,K03461
2011,"Wittmund",%,K03462
2011,"Statistische Region Weser-Ems",%,K034
2011,"Niedersachsen",%,K030
2012,"Braunschweig, Stadt",%,K03101
2012,"Salzgitter, Stadt",%,K03102
2012,"Wolfsburg, Stadt",%,K03103
2012,"Gifhorn",%,K03151
2012,"Goslar",%,K03153
2012,"Helmstedt",%,K03154
2012,"Northeim",%,K03155
2012,"Peine",%,K03157
2012,"Wolfenbüttel",%,K03158
2012,"Göttingen",%,K03159
2012,"Statistische Region Braunschweig",%,K031
2012,"Hannover  Region",%,K03241
2012,"dav. Hannover, Lhst.",%,K03241001
2012,"dav. Hannover, Umland",%,K03241999
2012,"Diepholz",%,K03251
2012,"Hameln-Pyrmont",%,K03252
2012,"Hildesheim",%,K03254
2012,"Holzminden",%,K03255
2012,"Nienburg (Weser)",%,K03256
2012,"Schaumburg",%,K03257
2012,"Statistische Region Hannover",%,K032
2012,"Celle",%,K03351
2012,"Cuxhaven",%,K03352
2012,"Harburg",%,K03353
2012,"Lüchow-Dannenberg",%,K03354
2012,"Lüneburg",%,K03355
2012,"Osterholz",%,K03356
2012,"Rotenburg (Wümme)",%,K03357
2012,"Heidekreis",%,K03358
2012,"Stade",%,K03359
2012,"Uelzen",%,K03360
2012,"Verden",%,K03361
2012,"Statistische Region Lüneburg",%,K033
2012,"Delmenhorst, Stadt",%,K03401
2012,"Emden  Stadt",%,K03402
2012,"Oldenburg(Oldb), Stadt",%,K03403
2012,"Osnabrück, Stadt",%,K03404
2012,"Wilhelmshaven, Stadt",%,K03405
2012,"Ammerland",%,K03451
2012,"Aurich",%,K03452
2012,"Cloppenburg",%,K03453
2012,"Emsland",%,K03454
2012,"Friesland",%,K03455
2012,"Grafschaft Bentheim",%,K03456
2012,"Leer",%,K03457
2012,"Oldenburg",%,K03458
2012,"Osnabrück",%,K03459
2012,"Vechta",%,K03460
2012,"Wesermarsch",%,K03461
2012,"Wittmund",%,K03462
2012,"Statistische Region Weser-Ems",%,K034
2012,"Niedersachsen",%,K030
2013,"Braunschweig, Stadt",%,K03101
2013,"Salzgitter, Stadt",%,K03102
2013,"Wolfsburg, Stadt",%,K03103
2013,"Gifhorn",%,K03151
2013,"Goslar",%,K03153
2013,"Helmstedt",%,K03154
2013,"Northeim",%,K03155
2013,"Peine",%,K03157
2013,"Wolfenbüttel",%,K03158
2013,"Göttingen",%,K03159
2013,"Statistische Region Braunschweig",%,K031
2013,"Hannover  Region",%,K03241
2013,"dav. Hannover, Lhst.",%,K03241001
2013,"dav. Hannover, Umland",%,K03241999
2013,"Diepholz",%,K03251
2013,"Hameln-Pyrmont",%,K03252
2013,"Hildesheim",%,K03254
2013,"Holzminden",%,K03255
2013,"Nienburg (Weser)",%,K03256
2013,"Schaumburg",%,K03257
2013,"Statistische Region Hannover",%,K032
2013,"Celle",%,K03351
2013,"Cuxhaven",%,K03352
2013,"Harburg",%,K03353
2013,"Lüchow-Dannenberg",%,K03354
2013,"Lüneburg",%,K03355
2013,"Osterholz",%,K03356
2013,"Rotenburg (Wümme)",%,K03357
2013,"Heidekreis",%,K03358
2013,"Stade",%,K03359
2013,"Uelzen",%,K03360
2013,"Verden",%,K03361
2013,"Statistische Region Lüneburg",%,K033
2013,"Delmenhorst, Stadt",%,K03401
2013,"Emden  Stadt",%,K03402
2013,"Oldenburg(Oldb), Stadt",%,K03403
2013,"Osnabrück, Stadt",%,K03404
2013,"Wilhelmshaven, Stadt",%,K03405
2013,"Ammerland",%,K03451
2013,"Aurich",%,K03452
2013,"Cloppenburg",%,K03453
2013,"Emsland",%,K03454
2013,"Friesland",%,K03455
2013,"Grafschaft Bentheim",%,K03456
2013,"Leer",%,K03457
2013,"Oldenburg",%,K03458
2013,"Osnabrück",%,K03459
2013,"Vechta",%,K03460
2013,"Wesermarsch",%,K03461
2013,"Wittmund",%,K03462
2013,"Statistische Region Weser-Ems",%,K034
2013,"Niedersachsen",%,K030
2014,"Braunschweig, Stadt",%,K03101
2014,"Salzgitter, Stadt",%,K03102
2014,"Wolfsburg, Stadt",%,K03103
2014,"Gifhorn",%,K03151
2014,"Goslar",%,K03153
2014,"Helmstedt",%,K03154
2014,"Northeim",%,K03155
2014,"Peine",%,K03157
2014,"Wolfenbüttel",%,K03158
2014,"Göttingen",%,K03159
2014,"Statistische Region Braunschweig",%,K031
2014,"Hannover  Region",%,K03241
2014,"dav. Hannover, Lhst.",%,K03241001
2014,"dav. Hannover, Umland",%,K03241999
