Year,Wanderungsziel,Value
2012,Serbien (ab 2008),1475
2012,Spanien,2383
2012,Türkei,1603
2012,Ukraine,621
2012,Ungarn,3937
2012,Vereinigtes Königreich,1225
2012,EU Staaten,69878
2012,Afrika insgesamt,2456
2012,Amerika insgesamt,4336
2012,Asien insgesamt,9868
2012,Irak,559
2012,Kasachstan,571
2012,Syrien   Arabische Republik,976
2012,Australien und Ozeanien,477
2012,Sonstige Ziele,2325
2012,ohne Angabe,68
2012,Insgesamt,99001
2013,Europa insgesamt,87619
2013,Bulgarien,4341
2013,Griechenland,1888
2013,Italien,3029
2013,Kroatien,730
2013,Litauen,1434
2013,Moldau   Republik,155
2013,Niederlande,1856
2013,Polen,32617
2013,Rumänien,12979
2013,Russische Föderation,4019
2013,Serbien (ab 2008),2039
2013,Spanien,3217
2013,Türkei,1477
2013,Ukraine,714
2013,Ungarn,4419
2013,Vereinigtes Königreich,1328
2013,EU Staaten,75109
2013,Afrika insgesamt,4218
2013,Amerika insgesamt,4060
2013,Asien insgesamt,12555
2013,Irak,607
2013,Kasachstan,930
2013,Syrien   Arabische Republik,2508
2013,Australien und Ozeanien,513
2013,Sonstige Ziele,1956
2013,ohne Angabe,38
2013,Insgesamt,110921
2014,Europa insgesamt,103904
2014,Bulgarien,6841
2014,Griechenland,2024
2014,Italien,3855
2014,Kroatien,1347
2014,Litauen,1314
2014,Moldau   Republik,400
2014,Niederlande,1772
2014,Polen,33028
2014,Rumänien,19064
2014,Russische Föderation,4215
2014,Serbien (ab 2008),3227
2014,Spanien,2671
2014,Türkei,1926
2014,Ukraine,1286
2014,Ungarn,3991
2014,Vereinigtes Königreich,1240
2014,EU Staaten,84129
2014,Afrika insgesamt,6032
2014,Amerika insgesamt,4469
2014,Asien insgesamt,22401
2014,Irak,1197
2014,Kasachstan,2246
2014,Syrien   Arabische Republik,9245
2014,Australien und Ozeanien,500
2014,Sonstige Ziele,1875
2014,ohne Angabe,61
2014,Insgesamt,139181
2015,Europa insgesamt,118056
2015,Bulgarien,7793
2015,Griechenland,1994
2015,Italien,3885
2015,Kroatien,2022
2015,Litauen,1484
2015,Moldau   Republik,653
2015,Niederlande,1921
2015,Polen,32001
2015,Rumänien,21612
2015,Russische Föderation,4467
2015,Serbien (ab 2008),3798
2015,Spanien,2452
2015,Türkei,2884
2015,Ukraine,1595
2015,Ungarn,3797
2015,Vereinigtes Königreich,1329
2015,EU Staaten,87118
2015,Afrika insgesamt,12926
2015,Amerika insgesamt,4489
2015,Asien insgesamt,67279
2015,Irak,10845
2015,Kasachstan,2121
2015,Syrien   Arabische Republik,32777
2015,Australien und Ozeanien,514
2015,Sonstige Ziele,3386
2015,ohne Angabe,1044
2015,Insgesamt,206650
2016,Europa insgesamt,101930
2016,Bulgarien,7389
2016,Griechenland,2257
2016,Italien,3587
2016,Kroatien,2084
2016,Litauen,1407
2016,Moldau   Republik,1014
2016,Niederlande,1814
2016,Polen,26551
2016,Rumänien,25217
2016,Russische Föderation,4850
2016,Serbien (ab 2008),1704
2016,Spanien,2063
2016,Türkei,3320
2016,Ukraine,1663
2016,Ungarn,3343
2016,Vereinigtes Königreich,1294
2016,EU Staaten,83386
2016,Afrika insgesamt,8746
2016,Amerika insgesamt,4793
2016,Asien insgesamt,49106
2016,Irak,12033
2016,Kasachstan,2508
2016,Syrien   Arabische Republik,15199
2016,Australien und Ozeanien,522
2016,Sonstige Ziele,10104
2016,ohne Angabe,3730
2016,Insgesamt,175201
2017,Europa insgesamt,102960
2017,Bulgarien,7520
2017,Griechenland,2015
2017,Italien,3544
2017,Kroatien,1968
2017,Litauen,1405
2017,Moldau   Republik,1414
2017,Niederlande,1619
2017,Polen,23965
2017,Rumänien,27631
2017,Russische Föderation,4313
2017,Serbien (ab 2008),1619
2017,Spanien,1774
2017,Türkei,5772
2017,Ukraine,2007
2017,Ungarn,3205
2017,Vereinigtes Königreich,1216
2017,EU Staaten,81800
2017,Afrika insgesamt,4635
2017,Amerika insgesamt,4731
2017,Asien insgesamt,21467
2017,Irak,4020
2017,Kasachstan,2779
2017,Syrien   Arabische Republik,4423
2017,Australien und Ozeanien,562
2017,Sonstige Ziele,11546
2017,ohne Angabe,6182
2017,Insgesamt,145901
2018,Europa insgesamt,107646
2018,Bulgarien,8284
2018,Griechenland,2118
2018,Italien,3479
2018,Kroatien,2157
2018,Litauen,1720
2018,Moldau   Republik,1971
2018,Niederlande,1621
2018,Polen,22557
2018,Rumänien,31587
2018,Russische Föderation,4834
2018,Serbien (ab 2008),1776
2018,Spanien,1893
2018,Türkei,5392
2018,Ukraine,2116
2018,Ungarn,2759
2018,Vereinigtes Königreich,1311
2018,EU Staaten,85506
2018,Afrika insgesamt,5511
2018,Amerika insgesamt,5030
2018,Asien insgesamt,19633
2018,Irak,2505
2018,Kasachstan,2452
2018,Syrien   Arabische Republik,3244
2018,Australien und Ozeanien,574
2018,Sonstige Ziele,15978
2018,ohne Angabe,12174
2018,Insgesamt,154372
2019,Europa insgesamt,103708
2019,Bulgarien,8333
2019,Griechenland,1895
2019,Italien,3649
2019,Kroatien,1996
2019,Litauen,1768
2019,Moldau   Republik,2512
2019,Niederlande,1686
2019,Polen,20079
2019,Rumänien,29751
2019,Russische Föderation,4859
2019,Serbien (ab 2008),1642
2019,Spanien,1877
2019,Türkei,5397
2019,Ukraine,2224
2019,Ungarn,2139
2019,Vereinigtes Königreich,1342
2019,EU Staaten,80673
2019,Afrika insgesamt,6518
2019,Amerika insgesamt,5423
2019,Asien insgesamt,19290
2019,Irak,1490
2019,Kasachstan,2706
2019,Syrien   Arabische Republik,2664
2019,Australien und Ozeanien,547
2019,Sonstige Ziele,15663
2019,ohne Angabe,12914
2019,Insgesamt,151149
2020,Europa insgesamt,81166
2020,Bulgarien,7792
2020,Griechenland,1782
2020,Italien,2571
2020,Kroatien,1261
2020,Litauen,1369
2020,Moldau   Republik,1998
2020,Niederlande,1574
2020,Polen,15041
2020,Rumänien,24576
2020,Russische Föderation,2801
2020,Serbien (ab 2008),1294
2020,Spanien,1598
2020,Türkei,3158
2020,Ukraine,1454
2020,Ungarn,1975
2020,Vereinigtes Königreich,1254
2020,EU Staaten,65686
2020,Afrika insgesamt,3886
2020,Amerika insgesamt,3326
2020,Asien insgesamt,13009
2020,Irak,1261
2020,Kasachstan,1783
2020,Syrien   Arabische Republik,2407
2020,Australien und Ozeanien,404
2020,Sonstige Ziele,11485
2020,ohne Angabe,10659
2020,Insgesamt,113276
