Migration und Teilhabe in Niedersachsen - Integrationsmonitoring 2021,Gebietseinheit,Land der Staatsangehörigkeit,Units,GeoCode,Value,Value_2
2012,"Wolfenbüttel",Ukraine,Anzahl,K03158,41,41
2012,"Göttingen",Ukraine,Anzahl,K03159,412,412
2012,"Statistische Region Braunschweig",Ukraine,Anzahl,K031,1355,1355
2012,"Region Hannover",Ukraine,Anzahl,K03241,4700,4700
2012,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3724,3724
2012,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,976,976
2012,"Diepholz",Ukraine,Anzahl,K03251,148,148
2012,"Hameln-Pyrmont",Ukraine,Anzahl,K03252,360,360
2012,"Hildesheim",Ukraine,Anzahl,K03254,187,187
2012,"Holzminden",Ukraine,Anzahl,K03255,35,35
2012,"Nienburg (Weser)",Ukraine,Anzahl,K03256,63,63
2012,"Schaumburg",Ukraine,Anzahl,K03257,105,105
2012,"Statistische Region Hannover",Ukraine,Anzahl,K032,5598,5598
2012,"Celle",Ukraine,Anzahl,K03351,111,111
2012,"Cuxhaven",Ukraine,Anzahl,K03352,68,68
2012,"Harburg",Ukraine,Anzahl,K03353,145,145
2012,"Lüchow-Dannenberg",Ukraine,Anzahl,K03354,18,18
2012,"Lüneburg",Ukraine,Anzahl,K03355,100,100
2012,"Osterholz",Ukraine,Anzahl,K03356,49,49
2012,"Rotenburg (Wümme)",Ukraine,Anzahl,K03357,73,73
2012,"Heidekreis",Ukraine,Anzahl,K03358,82,82
2012,"Stade",Ukraine,Anzahl,K03359,114,114
2012,"Uelzen",Ukraine,Anzahl,K03360,36,36
2012,"Verden",Ukraine,Anzahl,K03361,62,62
2012,"Statistische Region Lüneburg",Ukraine,Anzahl,K033,858,858
2012,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,214,214
2012,"Emden, Stadt",Ukraine,Anzahl,K03402,31,31
2012,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,237,237
2012,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,656,656
2012,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,36,36
2012,"Ammerland",Ukraine,Anzahl,K03451,42,42
2012,"Aurich",Ukraine,Anzahl,K03452,36,36
2012,"Cloppenburg",Ukraine,Anzahl,K03453,123,123
2012,"Emsland",Ukraine,Anzahl,K03454,134,134
2012,"Friesland",Ukraine,Anzahl,K03455,31,31
2012,"Grafschaft Bentheim",Ukraine,Anzahl,K03456,64,64
2012,"Leer",Ukraine,Anzahl,K03457,78,78
2012,"Oldenburg",Ukraine,Anzahl,K03458,37,37
2012,"Osnabrück",Ukraine,Anzahl,K03459,260,260
2012,"Vechta",Ukraine,Anzahl,K03460,118,118
2012,"Wesermarsch",Ukraine,Anzahl,K03461,55,55
2012,"Wittmund",Ukraine,Anzahl,K03462,11,11
2012,"Statistische Region Weser-Ems",Ukraine,Anzahl,K034,2163,2163
2012,"Niedersachsen",Ukraine,Anzahl,K030,9974,9974
2013,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,378,378
2013,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,77,77
2013,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,123,123
2013,"Gifhorn",Ukraine,Anzahl,K03151,89,89
2013,"Goslar",Ukraine,Anzahl,K03153,98,98
2013,"Helmstedt",Ukraine,Anzahl,K03154,39,39
2013,"Northeim",Ukraine,Anzahl,K03155,84,84
2013,"Peine",Ukraine,Anzahl,K03157,56,56
2013,"Wolfenbüttel",Ukraine,Anzahl,K03158,42,42
2013,"Göttingen",Ukraine,Anzahl,K03159,424,424
2013,"Statistische Region Braunschweig",Ukraine,Anzahl,K031,1410,1410
2013,"Region Hannover",Ukraine,Anzahl,K03241,4601,4601
2013,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3619,3619
2013,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,982,982
2013,"Diepholz",Ukraine,Anzahl,K03251,154,154
2013,"Hameln-Pyrmont",Ukraine,Anzahl,K03252,338,338
2013,"Hildesheim",Ukraine,Anzahl,K03254,191,191
2013,"Holzminden",Ukraine,Anzahl,K03255,39,39
2013,"Nienburg (Weser)",Ukraine,Anzahl,K03256,68,68
2013,"Schaumburg",Ukraine,Anzahl,K03257,87,87
2013,"Statistische Region Hannover",Ukraine,Anzahl,K032,5478,5478
2013,"Celle",Ukraine,Anzahl,K03351,112,112
2013,"Cuxhaven",Ukraine,Anzahl,K03352,68,68
2013,"Harburg",Ukraine,Anzahl,K03353,164,164
2013,"Lüchow-Dannenberg",Ukraine,Anzahl,K03354,23,23
2013,"Lüneburg",Ukraine,Anzahl,K03355,91,91
2013,"Osterholz",Ukraine,Anzahl,K03356,44,44
2013,"Rotenburg (Wümme)",Ukraine,Anzahl,K03357,84,84
2013,"Heidekreis",Ukraine,Anzahl,K03358,87,87
2013,"Stade",Ukraine,Anzahl,K03359,115,115
2013,"Uelzen",Ukraine,Anzahl,K03360,41,41
2013,"Verden",Ukraine,Anzahl,K03361,57,57
2013,"Statistische Region Lüneburg",Ukraine,Anzahl,K033,886,886
2013,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,201,201
2013,"Emden, Stadt",Ukraine,Anzahl,K03402,32,32
2013,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,235,235
2013,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,619,619
2013,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,41,41
2013,"Ammerland",Ukraine,Anzahl,K03451,37,37
2013,"Aurich",Ukraine,Anzahl,K03452,33,33
2013,"Cloppenburg",Ukraine,Anzahl,K03453,123,123
2013,"Emsland",Ukraine,Anzahl,K03454,107,107
2013,"Friesland",Ukraine,Anzahl,K03455,29,29
2013,"Grafschaft Bentheim",Ukraine,Anzahl,K03456,90,90
2013,"Leer",Ukraine,Anzahl,K03457,76,76
2013,"Oldenburg",Ukraine,Anzahl,K03458,44,44
2013,"Osnabrück",Ukraine,Anzahl,K03459,268,268
2013,"Vechta",Ukraine,Anzahl,K03460,114,114
2013,"Wesermarsch",Ukraine,Anzahl,K03461,54,54
2013,"Wittmund",Ukraine,Anzahl,K03462,7,7
2013,"Statistische Region Weser-Ems",Ukraine,Anzahl,K034,2110,2110
2013,"Niedersachsen",Ukraine,Anzahl,K030,9884,9884
2014,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,406,406
2014,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,82,82
2014,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,135,135
2014,"Gifhorn",Ukraine,Anzahl,K03151,92,92
2014,"Goslar",Ukraine,Anzahl,K03153,100,100
2014,"Helmstedt",Ukraine,Anzahl,K03154,44,44
2014,"Northeim",Ukraine,Anzahl,K03155,76,76
2014,"Peine",Ukraine,Anzahl,K03157,63,63
2014,"Wolfenbüttel",Ukraine,Anzahl,K03158,45,45
2014,"Göttingen",Ukraine,Anzahl,K03159,423,423
