Year,Gebietseinheit,Land der Staatsangehörigkeit,Units,GeoCode,Value_2,Value
2012,Oldenburg,Ukraine,Anzahl,K03458,37.0,37.0
2012,Osnabrück,Ukraine,Anzahl,K03459,260.0,260.0
2012,Vechta,Ukraine,Anzahl,K03460,118.0,118.0
2012,Wesermarsch,Ukraine,Anzahl,K03461,55.0,55.0
2012,Wittmund,Ukraine,Anzahl,K03462,11.0,11.0
2012,Statistische Region Weser-Ems,Ukraine,Anzahl,K034,2163.0,2163.0
2012,Niedersachsen,Ukraine,Anzahl,K030,9974.0,9974.0
2013,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,378.0,378.0
2013,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,77.0,77.0
2013,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,123.0,123.0
2013,Gifhorn,Ukraine,Anzahl,K03151,89.0,89.0
2013,Goslar,Ukraine,Anzahl,K03153,98.0,98.0
2013,Helmstedt,Ukraine,Anzahl,K03154,39.0,39.0
2013,Northeim,Ukraine,Anzahl,K03155,84.0,84.0
2013,Peine,Ukraine,Anzahl,K03157,56.0,56.0
2013,Wolfenbüttel,Ukraine,Anzahl,K03158,42.0,42.0
2013,Göttingen,Ukraine,Anzahl,K03159,424.0,424.0
2013,Statistische Region Braunschweig,Ukraine,Anzahl,K031,1410.0,1410.0
2013,Region Hannover,Ukraine,Anzahl,K03241,4601.0,4601.0
2013,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3619.0,3619.0
2013,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,982.0,982.0
2013,Diepholz,Ukraine,Anzahl,K03251,154.0,154.0
2013,Hameln-Pyrmont,Ukraine,Anzahl,K03252,338.0,338.0
2013,Hildesheim,Ukraine,Anzahl,K03254,191.0,191.0
2013,Holzminden,Ukraine,Anzahl,K03255,39.0,39.0
2013,Nienburg (Weser),Ukraine,Anzahl,K03256,68.0,68.0
2013,Schaumburg,Ukraine,Anzahl,K03257,87.0,87.0
2013,Statistische Region Hannover,Ukraine,Anzahl,K032,5478.0,5478.0
2013,Celle,Ukraine,Anzahl,K03351,112.0,112.0
2013,Cuxhaven,Ukraine,Anzahl,K03352,68.0,68.0
2013,Harburg,Ukraine,Anzahl,K03353,164.0,164.0
2013,Lüchow-Dannenberg,Ukraine,Anzahl,K03354,23.0,23.0
2013,Lüneburg,Ukraine,Anzahl,K03355,91.0,91.0
2013,Osterholz,Ukraine,Anzahl,K03356,44.0,44.0
2013,Rotenburg (Wümme),Ukraine,Anzahl,K03357,84.0,84.0
2013,Heidekreis,Ukraine,Anzahl,K03358,87.0,87.0
2013,Stade,Ukraine,Anzahl,K03359,115.0,115.0
2013,Uelzen,Ukraine,Anzahl,K03360,41.0,41.0
2013,Verden,Ukraine,Anzahl,K03361,57.0,57.0
2013,Statistische Region Lüneburg,Ukraine,Anzahl,K033,886.0,886.0
2013,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,201.0,201.0
2013,"Emden, Stadt",Ukraine,Anzahl,K03402,32.0,32.0
2013,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,235.0,235.0
2013,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,619.0,619.0
2013,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,41.0,41.0
2013,Ammerland,Ukraine,Anzahl,K03451,37.0,37.0
2013,Aurich,Ukraine,Anzahl,K03452,33.0,33.0
2013,Cloppenburg,Ukraine,Anzahl,K03453,123.0,123.0
2013,Emsland,Ukraine,Anzahl,K03454,107.0,107.0
2013,Friesland,Ukraine,Anzahl,K03455,29.0,29.0
2013,Grafschaft Bentheim,Ukraine,Anzahl,K03456,90.0,90.0
2013,Leer,Ukraine,Anzahl,K03457,76.0,76.0
2013,Oldenburg,Ukraine,Anzahl,K03458,44.0,44.0
2013,Osnabrück,Ukraine,Anzahl,K03459,268.0,268.0
2013,Vechta,Ukraine,Anzahl,K03460,114.0,114.0
2013,Wesermarsch,Ukraine,Anzahl,K03461,54.0,54.0
2013,Wittmund,Ukraine,Anzahl,K03462,7.0,7.0
2013,Statistische Region Weser-Ems,Ukraine,Anzahl,K034,2110.0,2110.0
2013,Niedersachsen,Ukraine,Anzahl,K030,9884.0,9884.0
2014,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,406.0,406.0
2014,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,82.0,82.0
2014,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,135.0,135.0
2014,Gifhorn,Ukraine,Anzahl,K03151,92.0,92.0
2014,Goslar,Ukraine,Anzahl,K03153,100.0,100.0
2014,Helmstedt,Ukraine,Anzahl,K03154,44.0,44.0
2014,Northeim,Ukraine,Anzahl,K03155,76.0,76.0
2014,Peine,Ukraine,Anzahl,K03157,63.0,63.0
2014,Wolfenbüttel,Ukraine,Anzahl,K03158,45.0,45.0
2014,Göttingen,Ukraine,Anzahl,K03159,423.0,423.0
2014,Statistische Region Braunschweig,Ukraine,Anzahl,K031,1466.0,1466.0
2014,Region Hannover,Ukraine,Anzahl,K03241,4617.0,4617.0
2014,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3616.0,3616.0
2014,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,1001.0,1001.0
2014,Diepholz,Ukraine,Anzahl,K03251,163.0,163.0
2014,Hameln-Pyrmont,Ukraine,Anzahl,K03252,354.0,354.0
2014,Hildesheim,Ukraine,Anzahl,K03254,197.0,197.0
2014,Holzminden,Ukraine,Anzahl,K03255,42.0,42.0
2014,Nienburg (Weser),Ukraine,Anzahl,K03256,74.0,74.0
2014,Schaumburg,Ukraine,Anzahl,K03257,98.0,98.0
2014,Statistische Region Hannover,Ukraine,Anzahl,K032,5545.0,5545.0
2014,Celle,Ukraine,Anzahl,K03351,115.0,115.0
2014,Cuxhaven,Ukraine,Anzahl,K03352,72.0,72.0
2014,Harburg,Ukraine,Anzahl,K03353,168.0,168.0
2014,Lüchow-Dannenberg,Ukraine,Anzahl,K03354,26.0,26.0
2014,Lüneburg,Ukraine,Anzahl,K03355,104.0,104.0
2014,Osterholz,Ukraine,Anzahl,K03356,64.0,64.0
2014,Rotenburg (Wümme),Ukraine,Anzahl,K03357,83.0,83.0
2014,Heidekreis,Ukraine,Anzahl,K03358,106.0,106.0
2014,Stade,Ukraine,Anzahl,K03359,122.0,122.0
2014,Uelzen,Ukraine,Anzahl,K03360,49.0,49.0
2014,Verden,Ukraine,Anzahl,K03361,66.0,66.0
2014,Statistische Region Lüneburg,Ukraine,Anzahl,K033,975.0,975.0
2014,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,206.0,206.0
2014,"Emden, Stadt",Ukraine,Anzahl,K03402,37.0,37.0
2014,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,248.0,248.0
2014,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,596.0,596.0
2014,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,47.0,47.0
2014,Ammerland,Ukraine,Anzahl,K03451,47.0,47.0
2014,Aurich,Ukraine,Anzahl,K03452,39.0,39.0
2014,Cloppenburg,Ukraine,Anzahl,K03453,138.0,138.0
2014,Emsland,Ukraine,Anzahl,K03454,125.0,125.0
