Year,Altersgruppe,Units,Geschlecht,Value
6 – 15,in 1000,Männlich,27.3804527963305,
15 – 20,in 1000,Männlich,23.2313014873429,
20 – 40,in 1000,Männlich,23.0476013387877,
40 – 65,in 1000,Männlich,14.3297118234201,
65 – 80,in 1000,Männlich,9.4370941122004,
80 und älter,in 1000,Männlich,6.03335999587826,
Insgesamt,in 1000,Männlich,17.9164937435134,
0 – 3,in 1000,Männlich,32.2464496467269,
3 – 6,in 1000,Männlich,32.7607394084092,
6 – 15,in 1000,Männlich,24.7757565553219,
15 – 20,in 1000,Männlich,22.1602735124013,
20 – 40,in 1000,Männlich,21.9313459132191,
40 – 65,in 1000,Männlich,14.4147547700055,
65 – 80,in 1000,Männlich,8.423030439318,
80 und älter,in 1000,Männlich,6.15387986853015,
Insgesamt,in 1000,Männlich,17.354245878989,
0 – 3,%,Weiblich,39.6650471568684,
3 – 6,%,Weiblich,34.3346115956233,
6 – 15,%,Weiblich,35.3394584503184,
15 – 20,%,Weiblich,28.0577456468605,
20 – 40,%,Weiblich,28.5786118492079,
40 – 65,%,Weiblich,18.1876979380279,
65 – 80,%,Weiblich,11.0794033336854,
80 und älter,%,Weiblich,6.98481875596389,
Insgesamt,%,Weiblich,21.4884077195552,
0 – 3,%,Weiblich,37.6489033104887,
3 – 6,%,Weiblich,37.6419289934766,
6 – 15,%,Weiblich,33.8821488846285,
15 – 20,%,Weiblich,28.7368514040147,
20 – 40,%,Weiblich,28.1945150380187,
40 – 65,%,Weiblich,18.3021803996227,
65 – 80,%,Weiblich,10.2937602731553,
80 und älter,%,Weiblich,7.66057833344458,
Insgesamt,%,Weiblich,21.2348522149998,
0 – 3,%,Weiblich,36.0465990101995,
3 – 6,%,Weiblich,35.3350458769437,
6 – 15,%,Weiblich,32.5581542989499,
15 – 20,%,Weiblich,26.3376845662825,
20 – 40,%,Weiblich,26.0315464037953,
40 – 65,%,Weiblich,17.221560194322,
65 – 80,%,Weiblich,9.8486292830537,
80 und älter,%,Weiblich,7.68360970902593,
Insgesamt,%,Weiblich,20.0594848018144,
0 – 3,%,Weiblich,36,
3 – 6,%,Weiblich,32.6,
6 – 15,%,Weiblich,29.8,
15 – 20,%,Weiblich,22.5,
20 – 40,%,Weiblich,25,
40 – 65,%,Weiblich,16,
65 – 80,%,Weiblich,9.5,
80 und älter,%,Weiblich,6.4,
Insgesamt,%,Weiblich,18.6,
0 – 3,%,Weiblich,46.4663208975806,
3 – 6,%,Weiblich,47.6557818887732,
6 – 15,%,Weiblich,38.2158464242493,
15 – 20,%,Weiblich,27.9519351520805,
20 – 40,%,Weiblich,30.0551296154294,
40 – 65,%,Weiblich,17.9798167221524,
65 – 80,%,Weiblich,9.18002903689104,
80 und älter,%,Weiblich,5.96799105111926,
Insgesamt,%,Weiblich,20.8418633449834,
0 – 3,%,Weiblich,33.2102084693807,
3 – 6,%,Weiblich,31.1225716320826,
6 – 15,%,Weiblich,27.2715996022233,
15 – 20,%,Weiblich,21.5189781264018,
20 – 40,%,Weiblich,22.4868771727699,
40 – 65,%,Weiblich,15.0945989494339,
65 – 80,%,Weiblich,7.79659061250268,
80 und älter,%,Weiblich,6.28010274227094,
Insgesamt,%,Weiblich,16.9702720994291,
0 – 3,%,Weiblich,33.2102084693807,
3 – 6,%,Weiblich,31.1225716320826,
6 – 15,%,Weiblich,27.2715996022233,
15 – 20,%,Weiblich,21.5189781264018,
20 – 40,%,Weiblich,22.4868771727699,
40 – 65,%,Weiblich,15.0945989494339,
65 – 80,%,Weiblich,7.79659061250268,
80 und älter,%,Weiblich,6.28010274227094,
Insgesamt,%,Weiblich,16.9702720994291,
0 – 3,%,Weiblich,31.1648491734678,
3 – 6,%,Weiblich,31.4770282651342,
6 – 15,%,Weiblich,28.6794040820441,
15 – 20,%,Weiblich,22.7698189213403,
