Year,Gebietseinheit,GeoCode,Value
2009,Diepholz,K03251,3.7
2009,Hameln-Pyrmont,K03252,6.5
2009,Hildesheim,K03254,4.7
2009,Holzminden,K03255,4.0
2009,Nienburg (Weser),K03256,4.2
2009,Schaumburg,K03257,5.2
2009,Statistische Region Hannover,K032,7.4
2009,Celle,K03351,4.1
2009,Cuxhaven,K03352,4.0
2009,Harburg,K03353,4.4
2009,Lüchow-Dannenberg,K03354,2.9
2009,Lüneburg,K03355,3.6
2009,Osterholz,K03356,3.3
2009,Rotenburg (Wümme),K03357,3.8
2009,Heidekreis,K03358,4.1
2009,Stade,K03359,4.1
2009,Uelzen,K03360,2.6
2009,Verden,K03361,4.8
2009,Statistische Region Lüneburg,K033,3.9
2009,Delmenhorst.Stadt,K03401,8.3
2009,Emden Stadt,K03402,4.6
2009,Oldenburg (Oldb) Stadt,K03403,5.8
2009,Osnabrück Stadt,K03404,8.9
2009,Wilhelmshaven Stadt,K03405,4.6
2009,Ammerland,K03451,2.9
2009,Aurich,K03452,2.7
2009,Cloppenburg,K03453,4.8
2009,Emsland,K03454,5.3
2009,Friesland,K03455,2.6
2009,Grafschaft Bentheim,K03456,11.5
2009,Leer,K03457,4.2
2009,Oldenburg,K03458,3.7
2009,Osnabrück,K03459,4.8
2009,Vechta,K03460,6.9
2009,Wesermarsch,K03461,5.4
2009,Wittmund,K03462,2.1
2009,Statistische Region Weser-Ems,K034,5.3
2009,Niedersachsen,K030,5.7
2010,Braunschweig Stadt,K03101,7.8
2010,Salzgitter Stadt,K03102,9.5
2010,Wolfsburg Stadt,K03103,9.7
2010,Gifhorn,K03151,4.0
2010,Goslar,K03153,4.8
2010,Helmstedt,K03154,3.6
2010,Northeim,K03155,3.6
2010,Peine,K03157,4.8
2010,Wolfenbüttel,K03158,3.6
2010,Göttingen,K03159,5.5
2010,Statistische Region Braunschweig,K031,5.7
2010,Hannover Region,K03241,9.8
2010,Hannover Landeshauptstadt,K03241001,14.0
2010,Diepholz,K03251,3.8
2010,Hameln-Pyrmont,K03252,6.7
2010,Hildesheim,K03254,4.8
2010,Holzminden,K03255,4.1
2010,Nienburg (Weser),K03256,4.2
2010,Schaumburg,K03257,5.1
2010,Statistische Region Hannover,K032,7.5
2010,Celle,K03351,4.2
2010,Cuxhaven,K03352,4.0
2010,Harburg,K03353,4.5
2010,Lüchow-Dannenberg,K03354,3.0
2010,Lüneburg,K03355,3.6
2010,Osterholz,K03356,3.3
2010,Rotenburg (Wümme),K03357,3.7
2010,Heidekreis,K03358,4.2
2010,Stade,K03359,4.1
2010,Uelzen,K03360,2.7
2010,Verden,K03361,4.8
2010,Statistische Region Lüneburg,K033,4.0
2010,Delmenhorst.Stadt,K03401,8.2
2010,Emden Stadt,K03402,4.7
2010,Oldenburg (Oldb) Stadt,K03403,5.8
2010,Osnabrück Stadt,K03404,8.9
2010,Wilhelmshaven Stadt,K03405,5.2
2010,Ammerland,K03451,3.0
2010,Aurich,K03452,2.8
2010,Cloppenburg,K03453,5.3
2010,Emsland,K03454,5.6
2010,Friesland,K03455,2.6
2010,Grafschaft Bentheim,K03456,11.6
2010,Leer,K03457,4.3
2010,Oldenburg,K03458,4.1
2010,Osnabrück,K03459,4.9
2010,Vechta,K03460,7.3
2010,Wesermarsch,K03461,5.2
2010,Wittmund,K03462,2.2
2010,Statistische Region Weser-Ems,K034,5.5
2010,Niedersachsen,K030,5.7
2011,Braunschweig Stadt,K03101,8.2
2011,Salzgitter Stadt,K03102,9.9
2011,Wolfsburg Stadt,K03103,9.9
2011,Gifhorn,K03151,4.1
2011,Goslar,K03153,5.0
2011,Helmstedt,K03154,3.7
2011,Northeim,K03155,3.7
2011,Peine,K03157,4.8
2011,Wolfenbüttel,K03158,3.7
2011,Göttingen,K03159,5.8
2011,Statistische Region Braunschweig,K031,6.0
2011,Hannover Region,K03241,10.4
2011,Hannover Landeshauptstadt,K03241001,14.8
2011,Diepholz,K03251,3.9
2011,Hameln-Pyrmont,K03252,6.9
2011,Hildesheim,K03254,5.0
2011,Holzminden,K03255,4.2
2011,Nienburg (Weser),K03256,4.3
2011,Schaumburg,K03257,5.3
2011,Statistische Region Hannover,K032,7.8
2011,Celle,K03351,4.3
2011,Cuxhaven,K03352,4.1
2011,Harburg,K03353,4.6
2011,Lüchow-Dannenberg,K03354,2.9
2011,Lüneburg,K03355,3.8
2011,Osterholz,K03356,3.5
2011,Rotenburg (Wümme),K03357,3.9
2011,Heidekreis,K03358,4.4
2011,Stade,K03359,4.5
2011,Uelzen,K03360,2.7
2011,Verden,K03361,4.9
2011,Statistische Region Lüneburg,K033,4.1
2011,Delmenhorst.Stadt,K03401,8.5
2011,Emden Stadt,K03402,4.9
2011,Oldenburg (Oldb) Stadt,K03403,5.9
2011,Osnabrück Stadt,K03404,9.8
2011,Wilhelmshaven Stadt,K03405,5.5
2011,Ammerland,K03451,3.1
2011,Aurich,K03452,2.9
2011,Cloppenburg,K03453,5.6
2011,Emsland,K03454,6.1
2011,Friesland,K03455,2.7
2011,Grafschaft Bentheim,K03456,12.1
2011,Leer,K03457,4.5
2011,Oldenburg,K03458,4.6
2011,Osnabrück,K03459,5.2
2011,Vechta,K03460,8.0
2011,Wesermarsch,K03461,5.2
2011,Wittmund,K03462,2.4
2011,Statistische Region Weser-Ems,K034,5.8
2011,Niedersachsen,K030,6.0
2012,Braunschweig Stadt,K03101,8.4
2012,Salzgitter Stadt,K03102,10.1
