Year,Altersgruppe,Units,Geschlecht,Value
2011,65 und älter,in 1000,Männlich,31.31798
2011,Insgesamt,in 1000,Männlich,268.64905
2025,18 – 25,in 1000,Weiblich,55.1
2025,25 – 45,in 1000,Weiblich,152.4
2025,45 – 65,in 1000,Weiblich,144.7
2025,65 und älter,in 1000,Weiblich,88.4
2025,Insgesamt,in 1000,Weiblich,440.6
2024,18 – 25,in 1000,Weiblich,52.8
2024,25 – 45,in 1000,Weiblich,151.8
2024,45 – 65,in 1000,Weiblich,144.8
2024,65 und älter,in 1000,Weiblich,89.9
2024,Insgesamt,in 1000,Weiblich,439.4
2023,18 – 25,in 1000,Weiblich,50.2
2023,25 – 45,in 1000,Weiblich,136.5
2023,45 – 65,in 1000,Weiblich,127.5
2023,65 und älter,in 1000,Weiblich,79.6
2023,Insgesamt,in 1000,Weiblich,393.8
2022,18 – 25,in 1000,Weiblich,50.3
2022,25 – 45,in 1000,Weiblich,140.4
2022,45 – 65,in 1000,Weiblich,129.8
2022,65 und älter,in 1000,Weiblich,72.7
2022,Insgesamt,in 1000,Weiblich,393.2
2021,18 – 25,in 1000,Weiblich,51.8
2021,25 – 45,in 1000,Weiblich,141.2
2021,45 – 65,in 1000,Weiblich,131.9
2021,65 und älter,in 1000,Weiblich,72.7
2021,Insgesamt,in 1000,Weiblich,397.6
2019,18 – 25,in 1000,Weiblich,47.93602
2019,25 – 45,in 1000,Weiblich,128.84901
2019,45 – 65,in 1000,Weiblich,115.80685
2019,65 und älter,in 1000,Weiblich,56.08338
2019,Insgesamt,in 1000,Weiblich,348.67526
2018,18 – 25,in 1000,Weiblich,42.17416
2018,25 – 45,in 1000,Weiblich,133.2397
2018,45 – 65,in 1000,Weiblich,114.24866
2018,65 und älter,in 1000,Weiblich,52.7576
2018,Insgesamt,in 1000,Weiblich,342.42012
2017,18 – 25,in 1000,Weiblich,42.7168
2017,25 – 45,in 1000,Weiblich,137.24038
2017,45 – 65,in 1000,Weiblich,121.26993
2017,65 und älter,in 1000,Weiblich,50.15644
2017,Insgesamt,in 1000,Weiblich,351.38354
2016,18 – 25,in 1000,Weiblich,35.38491
2016,25 – 45,in 1000,Weiblich,111.55392
2016,45 – 65,in 1000,Weiblich,103.83453
2016,65 und älter,in 1000,Weiblich,50.48963
2016,Insgesamt,in 1000,Weiblich,301.26299
2015,18 – 25,in 1000,Weiblich,36.3457
2015,25 – 45,in 1000,Weiblich,107.25866
2015,45 – 65,in 1000,Weiblich,100.07469
2015,65 und älter,in 1000,Weiblich,44.90148
2015,Insgesamt,in 1000,Weiblich,288.58054
2014,18 – 25,in 1000,Weiblich,37.82553
2014,25 – 45,in 1000,Weiblich,109.11468
2014,45 – 65,in 1000,Weiblich,99.10548
2014,65 und älter,in 1000,Weiblich,45.26922
2014,Insgesamt,in 1000,Weiblich,291.31491
2013,18 – 25,in 1000,Weiblich,42.88363
2013,25 – 45,in 1000,Weiblich,106.54449
2013,45 – 65,in 1000,Weiblich,100.40627
2013,65 und älter,in 1000,Weiblich,46.07346
2013,Insgesamt,in 1000,Weiblich,295.90786
2012,18 – 25,in 1000,Weiblich,39.71699
2012,25 – 45,in 1000,Weiblich,105.36062
2012,45 – 65,in 1000,Weiblich,98.77585
2012,65 und älter,in 1000,Weiblich,45.08324
2012,Insgesamt,in 1000,Weiblich,288.9367
2011,18 – 25,in 1000,Weiblich,43.41377
2011,25 – 45,in 1000,Weiblich,104.17531
2011,45 – 65,in 1000,Weiblich,96.00452
2011,65 und älter,in 1000,Weiblich,42.31946
2011,Insgesamt,in 1000,Weiblich,285.91306
2025,18 – 25,in 1000,Insgesamt,114.9
2025,25 – 45,in 1000,Insgesamt,303.5
2025,45 – 65,in 1000,Insgesamt,275.8
2025,65 und älter,in 1000,Insgesamt,163.3
2025,Insgesamt,in 1000,Insgesamt,857.6
2024,18 – 25,in 1000,Insgesamt,110.3
2024,25 – 45,in 1000,Insgesamt,296.8
2024,45 – 65,in 1000,Insgesamt,270.5
2024,65 und älter,in 1000,Insgesamt,164.1
2024,Insgesamt,in 1000,Insgesamt,841.7
2023,18 – 25,in 1000,Insgesamt,100.6
2023,25 – 45,in 1000,Insgesamt,273.2
2023,45 – 65,in 1000,Insgesamt,243.4
2023,65 und älter,in 1000,Insgesamt,141.9
2023,Insgesamt,in 1000,Insgesamt,759.0
2022,18 – 25,in 1000,Insgesamt,101.7
2022,25 – 45,in 1000,Insgesamt,277.4
2022,45 – 65,in 1000,Insgesamt,254.1
2022,65 und älter,in 1000,Insgesamt,135.0
2022,Insgesamt,in 1000,Insgesamt,768.1
2021,18 – 25,in 1000,Insgesamt,108.1
2021,25 – 45,in 1000,Insgesamt,281.9
2021,45 – 65,in 1000,Insgesamt,256.1
2021,65 und älter,in 1000,Insgesamt,134.3
2021,Insgesamt,in 1000,Insgesamt,780.4
2019,18 – 25,in 1000,Insgesamt,93.59323
2019,25 – 45,in 1000,Insgesamt,266.11489
2019,45 – 65,in 1000,Insgesamt,223.57265
2019,65 und älter,in 1000,Insgesamt,100.36001
2019,Insgesamt,in 1000,Insgesamt,683.64078
2018,18 – 25,in 1000,Insgesamt,89.25492
2018,25 – 45,in 1000,Insgesamt,270.80156
2018,45 – 65,in 1000,Insgesamt,217.58045
2018,65 und älter,in 1000,Insgesamt,93.6739
2018,Insgesamt,in 1000,Insgesamt,671.31083
2017,18 – 25,in 1000,Insgesamt,95.77135
2017,25 – 45,in 1000,Insgesamt,281.66754
2017,45 – 65,in 1000,Insgesamt,232.19674
2017,65 und älter,in 1000,Insgesamt,91.78206
2017,Insgesamt,in 1000,Insgesamt,701.41768
2016,18 – 25,in 1000,Insgesamt,79.39018
2016,25 – 45,in 1000,Insgesamt,227.80875
2016,45 – 65,in 1000,Insgesamt,200.27554
2016,65 und älter,in 1000,Insgesamt,88.44875
2016,Insgesamt,in 1000,Insgesamt,595.92322
2015,18 – 25,in 1000,Insgesamt,76.19723
2015,25 – 45,in 1000,Insgesamt,213.4757
2015,45 – 65,in 1000,Insgesamt,193.95814
2015,65 und älter,in 1000,Insgesamt,78.15952
2015,Insgesamt,in 1000,Insgesamt,561.79061
2014,18 – 25,in 1000,Insgesamt,74.31023
2014,25 – 45,in 1000,Insgesamt,216.98976
2014,45 – 65,in 1000,Insgesamt,192.73489
2014,65 und älter,in 1000,Insgesamt,80.96077
2014,Insgesamt,in 1000,Insgesamt,564.99565
2013,18 – 25,in 1000,Insgesamt,86.44505
2013,25 – 45,in 1000,Insgesamt,215.84247
2013,45 – 65,in 1000,Insgesamt,196.31173
2013,65 und älter,in 1000,Insgesamt,78.52971
2013,Insgesamt,in 1000,Insgesamt,577.12897
2012,18 – 25,in 1000,Insgesamt,85.75851
2012,25 – 45,in 1000,Insgesamt,206.53496
2012,45 – 65,in 1000,Insgesamt,192.56999
2012,65 und älter,in 1000,Insgesamt,75.77312
2012,Insgesamt,in 1000,Insgesamt,560.63658
2011,18 – 25,in 1000,Insgesamt,92.80972
2011,25 – 45,in 1000,Insgesamt,206.09914
2011,45 – 65,in 1000,Insgesamt,182.01581
2011,65 und älter,in 1000,Insgesamt,73.63744
2011,Insgesamt,in 1000,Insgesamt,554.56211
2025,18 – 25,%,Männlich,24.59958932
2025,25 – 45,%,Männlich,18.61525194
2025,45 – 65,%,Männlich,13.11
2025,65 und älter,%,Männlich,9.697048162
2025,Insgesamt,%,Männlich,14.74748904
2024,18 – 25,%,Männlich,22.96
2024,25 – 45,%,Männlich,17.89460694
2024,45 – 65,%,Männlich,12.47766528
2024,65 und älter,%,Männlich,9.680365297
2024,Insgesamt,%,Männlich,14.19448169
2023,18 – 25,%,Männlich,19.8816568
2023,25 – 45,%,Männlich,16.96450732
2023,45 – 65,%,Männlich,11.28969414
2023,65 und älter,%,Männlich,8.242777631
2023,Insgesamt,%,Männlich,12.85689139
2022,18 – 25,%,Männlich,19.00184843
2022,25 – 45,%,Männlich,17.01229356
2022,45 – 65,%,Männlich,11.85616177
2022,65 und älter,%,Männlich,8.301081009
2022,Insgesamt,%,Männlich,13.04680703
2021,18 – 25,%,Männlich,17.70440252
2021,25 – 45,%,Männlich,14.46637878
2021,45 – 65,%,Männlich,10.625
2021,65 und älter,%,Männlich,8.025013028
2021,Insgesamt,%,Männlich,11.86188513
2019,18 – 25,%,Männlich,16.74490725
2019,25 – 45,%,Männlich,17.0062335
2019,45 – 65,%,Männlich,9.866231773
2019,65 und älter,%,Männlich,6.176962204
2019,Insgesamt,%,Männlich,11.59497427
2018,18 – 25,%,Männlich,16.78154963
2018,25 – 45,%,Männlich,17.24157095
2018,45 – 65,%,Männlich,9.42004316
2018,65 und älter,%,Männlich,5.666274945
2018,Insgesamt,%,Männlich,11.35108573
2017,18 – 25,%,Männlich,18.43941995
2017,25 – 45,%,Männlich,17.82043755
2017,45 – 65,%,Männlich,9.940778482
2017,65 und älter,%,Männlich,5.937831876
2017,Insgesamt,%,Männlich,12.00769484
2016,18 – 25,%,Männlich,15.34413559
2016,25 – 45,%,Männlich,14.03423046
2016,45 – 65,%,Männlich,8.552000906
2016,65 und älter,%,Männlich,5.303293901
2016,Insgesamt,%,Männlich,9.959376685
2015,18 – 25,%,Männlich,14.31915756
2015,25 – 45,%,Männlich,12.68941893
2015,45 – 65,%,Männlich,8.435597871
2015,65 und älter,%,Männlich,4.554629142
2015,Insgesamt,%,Männlich,9.234725076
2014,18 – 25,%,Männlich,12.9533676
2014,25 – 45,%,Männlich,12.74099719
2014,45 – 65,%,Männlich,8.60365605
2014,65 und älter,%,Männlich,4.904548831
2014,Insgesamt,%,Männlich,9.295230518
2013,18 – 25,%,Männlich,15.41017844
2013,25 – 45,%,Männlich,12.74384361
2013,45 – 65,%,Männlich,8.874658945
2013,65 und älter,%,Männlich,4.57943596
2013,Insgesamt,%,Männlich,9.598847872
2012,18 – 25,%,Männlich,15.82997327
2012,25 – 45,%,Männlich,11.68908529
2012,45 – 65,%,Männlich,8.675322966
2012,65 und älter,%,Männlich,4.462613448
2012,Insgesamt,%,Männlich,9.28803759
2011,18 – 25,%,Männlich,16.37481633
2011,25 – 45,%,Männlich,11.53617583
2011,45 – 65,%,Männlich,8.160107736
2011,65 und älter,%,Männlich,4.550612225
2011,Insgesamt,%,Männlich,9.17694778
2025,18 – 25,%,Weiblich,31.04225352
2025,25 – 45,%,Weiblich,23.77535101
2025,45 – 65,%,Weiblich,16.41147783
2025,65 und älter,%,Weiblich,10.47393365
2025,Insgesamt,%,Weiblich,17.31782093
2024,18 – 25,%,Weiblich,27.86279683
2024,25 – 45,%,Weiblich,23.78192073
2024,45 – 65,%,Weiblich,16.19143464
2024,65 und älter,%,Weiblich,10.80528846
2024,Insgesamt,%,Weiblich,17.20438528
2023,18 – 25,%,Weiblich,24.87611497
2023,25 – 45,%,Weiblich,21.0453284
2023,45 – 65,%,Weiblich,13.66852487
2023,65 und älter,%,Weiblich,9.608884597
2023,Insgesamt,%,Weiblich,15.07830149
2022,18 – 25,%,Weiblich,23.37360595
2022,25 – 45,%,Weiblich,21.62661738
2022,45 – 65,%,Weiblich,13.61443256
2022,65 und älter,%,Weiblich,8.730635283
2022,Insgesamt,%,Weiblich,14.83437712
2021,18 – 25,%,Weiblich,17.27818546
2021,25 – 45,%,Weiblich,15.20404867
2021,45 – 65,%,Weiblich,11.13644039
2021,65 und älter,%,Weiblich,7.870520732
2021,Insgesamt,%,Weiblich,11.91703633
2019,18 – 25,%,Weiblich,18.04906878
2019,25 – 45,%,Weiblich,16.47306585
2019,45 – 65,%,Weiblich,10.3731937
2019,65 und älter,%,Weiblich,6.438789578
2019,Insgesamt,%,Weiblich,11.48773555
2018,18 – 25,%,Weiblich,16.31695394
2018,25 – 45,%,Weiblich,17.12395113
2018,45 – 65,%,Weiblich,10.25715855
2018,65 und älter,%,Weiblich,5.986655121
2018,Insgesamt,%,Weiblich,11.29482638
2017,18 – 25,%,Weiblich,16.11191073
2017,25 – 45,%,Weiblich,17.48643044
2017,45 – 65,%,Weiblich,10.77395808
2017,65 und älter,%,Weiblich,5.794736065
2017,Insgesamt,%,Weiblich,11.55448628
2016,18 – 25,%,Weiblich,13.50467077
2016,25 – 45,%,Weiblich,13.90750801
2016,45 – 65,%,Weiblich,9.120863616
2016,65 und älter,%,Weiblich,5.475699602
2016,Insgesamt,%,Weiblich,9.641561499
2015,18 – 25,%,Weiblich,14.011436
2015,25 – 45,%,Weiblich,13.08793471
2015,45 – 65,%,Weiblich,8.822719546
2015,65 und älter,%,Weiblich,4.838318843
2015,Insgesamt,%,Weiblich,9.186816857
2014,18 – 25,%,Weiblich,14.3639024
2014,25 – 45,%,Weiblich,13.15122165
2014,45 – 65,%,Weiblich,9.006157499
2014,65 und älter,%,Weiblich,4.848741715
2014,Insgesamt,%,Weiblich,9.315885142
2013,18 – 25,%,Weiblich,16.02359678
2013,25 – 45,%,Weiblich,12.65418806
2013,45 – 65,%,Weiblich,9.166179356
2013,65 und älter,%,Weiblich,4.982526455
2013,Insgesamt,%,Weiblich,9.454836619
2012,18 – 25,%,Weiblich,14.79032805
2012,25 – 45,%,Weiblich,12.19634481
2012,45 – 65,%,Weiblich,9.195997869
2012,65 und älter,%,Weiblich,4.894943155
2012,Insgesamt,%,Weiblich,9.238470072
2011,18 – 25,%,Weiblich,15.39853706
2011,25 – 45,%,Weiblich,11.83584626
2011,45 – 65,%,Weiblich,9.089852015
2011,65 und älter,%,Weiblich,4.601106785
2011,Insgesamt,%,Weiblich,9.111193803
2025,18 – 25,%,Insgesamt,24.13865546
2025,25 – 45,%,Insgesamt,18.90730127
2025,45 – 65,%,Insgesamt,13.61034347
2025,65 und älter,%,Insgesamt,9.578836227
2025,Insgesamt,%,Insgesamt,14.75466245
2024,18 – 25,%,Insgesamt,22.40503758
2024,25 – 45,%,Insgesamt,18.54652253
2024,45 – 65,%,Insgesamt,13.2170429
2024,65 und älter,%,Insgesamt,9.719260839
2024,Insgesamt,%,Insgesamt,14.4433386
2023,18 – 25,%,Insgesamt,19.8971519
2023,25 – 45,%,Insgesamt,17.17266956
2023,45 – 65,%,Insgesamt,11.66323255
2023,65 und älter,%,Insgesamt,8.534311662
2023,Insgesamt,%,Insgesamt,12.98301432
2022,18 – 25,%,Insgesamt,18.9738806
2022,25 – 45,%,Insgesamt,17.39294
2022,45 – 65,%,Insgesamt,11.92062301
2022,65 und älter,%,Insgesamt,8.158578594
2022,Insgesamt,%,Insgesamt,12.98080173
2021,18 – 25,%,Insgesamt,17.49757203
2021,25 – 45,%,Insgesamt,14.82669752
2021,45 – 65,%,Insgesamt,10.88675395
2021,65 und älter,%,Insgesamt,7.94063738
2021,Insgesamt,%,Insgesamt,11.89144712
2019,18 – 25,%,Insgesamt,17.38841552
2019,25 – 45,%,Insgesamt,16.74383806
2019,45 – 65,%,Insgesamt,10.12248272
2019,65 und älter,%,Insgesamt,6.320591159
2019,Insgesamt,%,Insgesamt,11.54003064
2018,18 – 25,%,Insgesamt,16.55876851
2018,25 – 45,%,Insgesamt,17.18349844
2018,45 – 65,%,Insgesamt,9.841801933
2018,65 und älter,%,Insgesamt,5.842365702
2018,Insgesamt,%,Insgesamt,11.32231929
2017,18 – 25,%,Insgesamt,17.32323428
2017,25 – 45,%,Insgesamt,17.65611589
2017,45 – 65,%,Insgesamt,10.35917245
2017,65 und älter,%,Insgesamt,5.858769731
2017,Insgesamt,%,Insgesamt,11.77629615
2016,18 – 25,%,Insgesamt,14.46591293
2016,25 – 45,%,Insgesamt,13.97188945
2016,45 – 65,%,Insgesamt,8.837778725
2016,65 und älter,%,Insgesamt,5.400354909
2016,Insgesamt,%,Insgesamt,9.79613262
2015,18 – 25,%,Insgesamt,14.1707074
2015,25 – 45,%,Insgesamt,12.88656839
2015,45 – 65,%,Insgesamt,8.630996815
2015,65 und älter,%,Insgesamt,4.713396732
2015,Insgesamt,%,Insgesamt,9.210053342
2014,18 – 25,%,Insgesamt,13.63492185
2014,25 – 45,%,Insgesamt,12.94403127
2014,45 – 65,%,Insgesamt,8.806025609
2014,65 und älter,%,Insgesamt,4.873186959
2014,Insgesamt,%,Insgesamt,9.305868707
2013,18 – 25,%,Insgesamt,15.70849877
2013,25 – 45,%,Insgesamt,12.69942948
2013,45 – 65,%,Insgesamt,9.021406012
2013,65 und älter,%,Insgesamt,4.807628079
2013,Insgesamt,%,Insgesamt,9.524466076
2012,18 – 25,%,Insgesamt,15.3308891
2012,25 – 45,%,Insgesamt,11.94246941
2012,45 – 65,%,Insgesamt,8.93480976
2012,65 und älter,%,Insgesamt,4.710127608
2012,Insgesamt,%,Insgesamt,9.262425612
2011,18 – 25,%,Insgesamt,15.90317434
2011,25 – 45,%,Insgesamt,11.68572669
2011,45 – 65,%,Insgesamt,8.625448339
2011,65 und älter,%,Insgesamt,4.57949516
2011,Insgesamt,%,Insgesamt,9.142929222
