Year,Series,Land der Staatsangehörigkeit,Geschlecht,Units,GeoCode,Value
2023,Alle Länder,"Laos, Dem. Volksrepublik",männlich,Anzahl,W449,
2023,Alle Länder,Kirgisistan,männlich,Anzahl,W450,
2023,Alle Länder,Malediven,männlich,Anzahl,W454,
2023,Alle Länder,Oman,männlich,Anzahl,W456,
2023,Alle Länder,Mongolei,männlich,Anzahl,W457,
2023,Alle Länder,Vereinigte Arabische Emirate,männlich,Anzahl,W469,
2023,Alle Länder,Tadschikistan,männlich,Anzahl,W470,
2023,Alle Länder,Turkmenistan,männlich,Anzahl,W471,
2023,Alle Länder,Saudi-Arabien,männlich,Anzahl,W472,
2023,Alle Länder,Singapur,männlich,Anzahl,W474,
2023,Alle Länder,Usbekistan,männlich,Anzahl,W477,
2023,Alle Länder,Australien,männlich,Anzahl,W523,
2023,Alle Länder,Salomonen,männlich,Anzahl,W524,
2023,Alle Länder,Nördliche Marianen,männlich,Anzahl,W525,
2023,Alle Länder,Fidschi,männlich,Anzahl,W526,
2023,Alle Länder,Cookinseln,männlich,Anzahl,W527,
2023,Alle Länder,Kiribati,männlich,Anzahl,W530,
2023,Alle Länder,Nauru,männlich,Anzahl,W531,
2023,Alle Länder,Vanuatu,männlich,Anzahl,W532,
2023,Alle Länder,Niue,männlich,Anzahl,W533,
2023,Alle Länder,Neuseeland,männlich,Anzahl,W536,
2023,Alle Länder,Palau,männlich,Anzahl,W537,
2023,Alle Länder,Papua-Neuguinea,männlich,Anzahl,W538,
2023,Alle Länder,Tuvalu,männlich,Anzahl,W540,
2023,Alle Länder,Tonga,männlich,Anzahl,W541,
2023,Alle Länder,Samoa,männlich,Anzahl,W543,
2023,Alle Länder,Marshallinseln,männlich,Anzahl,W544,
2023,Alle Länder,Föderierte Staaten von Mikronesien,männlich,Anzahl,W545,
2023,Alle Länder,Übriges Ozeanien,männlich,Anzahl,W599,
2023,Alle Länder,Unbekanntes Ausland,männlich,Anzahl,W996,
2023,Alle Länder,Ohne Angabe,männlich,Anzahl,W999,
2023,Alle Länder,Andorra,weiblich,Anzahl,W123,
2023,Alle Länder,Liechtenstein,weiblich,Anzahl,W141,
2023,Alle Länder,Monaco,weiblich,Anzahl,W147,
2023,Alle Länder,San Marino,weiblich,Anzahl,W156,
2023,Alle Länder,Vatikanstadt,weiblich,Anzahl,W167,
2023,Alle Länder,Britisch abhängige Gebiete in Europa,weiblich,Anzahl,W195,
2023,Alle Länder,Übriges Europa,weiblich,Anzahl,W199,
2023,Alle Länder,Lesotho,weiblich,Anzahl,W226,
2023,Alle Länder,Botsuana,weiblich,Anzahl,W227,
2023,Alle Länder,Dschibuti,weiblich,Anzahl,W230,
2023,Alle Länder,Simbabwe,weiblich,Anzahl,W233,
2023,Alle Länder,Gabun,weiblich,Anzahl,W236,
2023,Alle Länder,Mauretanien,weiblich,Anzahl,W239,
2023,Alle Länder,Kap Verde,weiblich,Anzahl,W242,
2023,Alle Länder,Komoren,weiblich,Anzahl,W244,
2023,Alle Länder,Kongo,weiblich,Anzahl,W245,
2023,Alle Länder,Libysch-Arabische Dschamahirija,weiblich,Anzahl,W248,
2023,Alle Länder,Madagaskar,weiblich,Anzahl,W249,
2023,Alle Länder,Mali,weiblich,Anzahl,W251,
2023,Alle Länder,Mauritius,weiblich,Anzahl,W253,
2023,Alle Länder,Mosambik,weiblich,Anzahl,W254,
2023,Alle Länder,Niger,weiblich,Anzahl,W255,
2023,Alle Länder,Malawi,weiblich,Anzahl,W256,
2023,Alle Länder,Sambia,weiblich,Anzahl,W257,
2023,Alle Länder,Guinea-Bissau,weiblich,Anzahl,W259,
2023,Alle Länder,Guinea,weiblich,Anzahl,W261,
2023,Alle Länder,Ruanda,weiblich,Anzahl,W265,
2023,Alle Länder,Namibia,weiblich,Anzahl,W267,
2023,Alle Länder,Sao Tome und Principe,weiblich,Anzahl,W268,
2023,Alle Länder,Seychellen,weiblich,Anzahl,W271,
2023,Alle Länder,Äquatorialguinea,weiblich,Anzahl,W274,
2023,Alle Länder,Swasiland,weiblich,Anzahl,W281,
2023,Alle Länder,"Tansania, Vereinigte Republik",weiblich,Anzahl,W282,
2023,Alle Länder,Tschad,weiblich,Anzahl,W284,
2023,Alle Länder,Uganda,weiblich,Anzahl,W286,
2023,Alle Länder,Zentralafrikanische Republik,weiblich,Anzahl,W289,
2023,Alle Länder,Burundi,weiblich,Anzahl,W291,
2023,Alle Länder,Antigua und Barbuda,weiblich,Anzahl,W320,
2023,Alle Länder,Barbados,weiblich,Anzahl,W322,
2023,Alle Länder,Bahamas,weiblich,Anzahl,W324,
2023,Alle Länder,Guyana,weiblich,Anzahl,W328,
2023,Alle Länder,Belize,weiblich,Anzahl,W330,
2023,Alle Länder,Dominica,weiblich,Anzahl,W333,
2023,Alle Länder,Costa Rica,weiblich,Anzahl,W334,
2023,Alle Länder,Ecuador,weiblich,Anzahl,W336,
2023,Alle Länder,El Salvador,weiblich,Anzahl,W337,
2023,Alle Länder,Grenada,weiblich,Anzahl,W340,
2023,Alle Länder,Guatemala,weiblich,Anzahl,W345,
2023,Alle Länder,Haiti,weiblich,Anzahl,W346,
2023,Alle Länder,Honduras,weiblich,Anzahl,W347,
2023,Alle Länder,Nicaragua,weiblich,Anzahl,W354,
2023,Alle Länder,Jamaika,weiblich,Anzahl,W355,
2023,Alle Länder,Panama,weiblich,Anzahl,W357,
2023,Alle Länder,Paraguay,weiblich,Anzahl,W359,
2023,Alle Länder,Suriname,weiblich,Anzahl,W364,
2023,Alle Länder,Uruguay,weiblich,Anzahl,W365,
2023,Alle Länder,St. Lucia,weiblich,Anzahl,W366,
