Year,Staatsangehörigkeit,Erreichter Abschluss,Besuchte Schule,Value
2019,Ausländerinnen und Ausländer,Erfolgreicher Besuch,Berufsschule (Teilzeit),1073.0
2019,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),23.0
2019,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),374.0
2019,Ausländerinnen und Ausländer,,Berufsschule (Teilzeit),2037.0
2019,Ausländerinnen und Ausländer,   nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),1764.0
2018,Deutsche,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2018,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),
2018,Deutsche,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),
2018,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),
2018,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),
2018,Deutsche,Erfolgreicher Besuch,Berufsschule (Teilzeit),
2018,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),
2018,Deutsche,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),
2018,Deutsche,,Berufsschule (Teilzeit),
2018,Deutsche,   nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),
2018,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2018,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),
2018,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),
2018,Ausländerinnen und Ausländer,Realschulabschluss,Berufsschule (Teilzeit),
2018,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),
2018,Ausländerinnen und Ausländer,Erfolgreicher Besuch,Berufsschule (Teilzeit),
2018,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),
2018,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),
2018,Ausländerinnen und Ausländer,,Berufsschule (Teilzeit),
2018,Ausländerinnen und Ausländer,   nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),
2017,Deutsche,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2017,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),107.0
2017,Deutsche,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),
2017,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),8889.0
2017,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),256.0
2017,Deutsche,Erfolgreicher Besuch,Berufsschule (Teilzeit),31093.0
2017,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),811.0
2017,Deutsche,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),2981.0
2017,Deutsche,,Berufsschule (Teilzeit),44137.0
2017,Deutsche,   nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),12269.0
2017,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2017,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),3.0
2017,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),
2017,Ausländerinnen und Ausländer,Realschulabschluss,Berufsschule (Teilzeit),428.0
2017,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),15.0
2017,Ausländerinnen und Ausländer,Erfolgreicher Besuch,Berufsschule (Teilzeit),1009.0
2017,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),32.0
2017,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),267.0
2017,Ausländerinnen und Ausländer,,Berufsschule (Teilzeit),1754.0
2017,Ausländerinnen und Ausländer,   nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),1163.0
2015,Deutsche,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2015,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),105.0
2015,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),9671.0
2015,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),257.0
2015,Deutsche,erfolgreicher Besuch,Berufsschule (Teilzeit),31960.0
2015,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),933.0
2015,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),
2015,Deutsche,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),3359.0
2015,Deutsche,,Berufsschule (Teilzeit),46285.0
2015,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),11060.0
2015,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2015,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),3.0
2015,Ausländerinnen und Ausländer,Realschulabschluss,Berufsschule (Teilzeit),411.0
2015,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),12.0
2015,Ausländerinnen und Ausländer,erfolgreicher Besuch,Berufsschule (Teilzeit),917.0
2015,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),26.0
2015,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),
2015,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),264.0
2015,Ausländerinnen und Ausländer,,Berufsschule (Teilzeit),1633.0
2015,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),733.0
2014,Deutsche,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2014,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),82.0
2014,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),10671.0
2014,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),319.0
2014,Deutsche,erfolgreicher Besuch,Berufsschule (Teilzeit),33547.0
2014,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),542.0
2014,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),
2014,Deutsche,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),3518.0
2014,Deutsche,,Berufsschule (Teilzeit),48679.0
2014,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),13622.0
2014,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2014,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),1.0
2014,Ausländerinnen und Ausländer,Realschulabschluss,Berufsschule (Teilzeit),366.0
2014,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),10.0
2014,Ausländerinnen und Ausländer,erfolgreicher Besuch,Berufsschule (Teilzeit),873.0
2014,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),12.0
2014,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),
2014,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),243.0
2014,Ausländerinnen und Ausländer,,Berufsschule (Teilzeit),1505.0
2014,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),748.0
2012,Deutsche,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2012,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),79.0
2012,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),10795.0
2012,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),402.0
2012,Deutsche,erfolgreicher Besuch,Berufsschule (Teilzeit),31944.0
2012,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),
2012,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),
2012,Deutsche,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),3581.0
2012,Deutsche,,Berufsschule (Teilzeit),46801.0
2012,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),12574.0
2012,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2012,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),
2012,Ausländerinnen und Ausländer,Realschulabschluss,Berufsschule (Teilzeit),390.0
2012,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),15.0
2012,Ausländerinnen und Ausländer,erfolgreicher Besuch,Berufsschule (Teilzeit),871.0
2012,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),
2012,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),
2012,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),258.0
2012,Ausländerinnen und Ausländer,,Berufsschule (Teilzeit),1534.0
2012,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),700.0
2011,Deutsche,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2011,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),89.0
2011,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),11039.0
2011,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),449.0
2011,Deutsche,erfolgreicher Besuch,Berufsschule (Teilzeit),32624.0
2011,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),
2011,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),
2011,Deutsche,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),3198.0
2011,Deutsche,,Berufsschule (Teilzeit),47399.0
2011,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),12273.0
2011,Ausländerinnen und Ausländer,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2011,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),7.0
2011,Ausländerinnen und Ausländer,Realschulabschluss,Berufsschule (Teilzeit),355.0
2011,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),23.0
2011,Ausländerinnen und Ausländer,erfolgreicher Besuch,Berufsschule (Teilzeit),921.0
2011,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),
2011,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),
2011,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),191.0
2011,Ausländerinnen und Ausländer,,Berufsschule (Teilzeit),1497.0
2011,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),651.0
2010,Deutsche,Allgemeine Hochschulreife,Berufsschule (Teilzeit),
2010,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),86.0
2010,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),11028.0
2010,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),415.0
2010,Deutsche,erfolgreicher Besuch,Berufsschule (Teilzeit),33962.0
2010,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),
2010,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),
2010,Deutsche,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),3052.0
2010,Deutsche,,Berufsschule (Teilzeit),48543.0
