Year,Gebietseinheit,Nationalität,GeoCode,Value
2007,Rotenburg (Wümme),Ausländerinnen und Ausländer,K03357,38
2007,Heidekreis,Ausländerinnen und Ausländer,K03358,23
2007,Stade,Ausländerinnen und Ausländer,K03359,31
2007,Uelzen,Ausländerinnen und Ausländer,K03360,20
2007,Verden,Ausländerinnen und Ausländer,K03361,46
2007,Statistische Region Lüneburg,Ausländerinnen und Ausländer,K033,374
2007,Delmenhorst  Stadt,Ausländerinnen und Ausländer,K03401,28
2007,Emden  Stadt,Ausländerinnen und Ausländer,K03402,16
2007,Oldenburg(Oldb)  Stadt,Ausländerinnen und Ausländer,K03403,95
2007,Osnabrück  Stadt,Ausländerinnen und Ausländer,K03404,75
2007,Wilhelmshaven  Stadt,Ausländerinnen und Ausländer,K03405,16
2007,Ammerland,Ausländerinnen und Ausländer,K03451,20
2007,Aurich,Ausländerinnen und Ausländer,K03452,60
2007,Cloppenburg,Ausländerinnen und Ausländer,K03453,44
2007,Emsland,Ausländerinnen und Ausländer,K03454,89
2007,Friesland,Ausländerinnen und Ausländer,K03455,18
2007,Grafschaft Bentheim,Ausländerinnen und Ausländer,K03456,109
2007,Leer,Ausländerinnen und Ausländer,K03457,40
2007,Oldenburg,Ausländerinnen und Ausländer,K03458,30
2007,Osnabrück,Ausländerinnen und Ausländer,K03459,87
2007,Vechta,Ausländerinnen und Ausländer,K03460,86
2007,Wesermarsch,Ausländerinnen und Ausländer,K03461,28
2007,Wittmund,Ausländerinnen und Ausländer,K03462,9
2007,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,K034,850
2007,Niedersachsen,Ausländerinnen und Ausländer,K030,2385
2008,Braunschweig  Stadt,Ausländerinnen und Ausländer,K03101,67
2008,Salzgitter  Stadt,Ausländerinnen und Ausländer,K03102,32
2008,Wolfsburg  Stadt,Ausländerinnen und Ausländer,K03103,50
2008,Gifhorn,Ausländerinnen und Ausländer,K03151,34
2008,Goslar,Ausländerinnen und Ausländer,K03153,39
2008,Helmstedt,Ausländerinnen und Ausländer,K03154,16
2008,Northeim,Ausländerinnen und Ausländer,K03155,55
2008,Peine,Ausländerinnen und Ausländer,K03157,28
2008,Wolfenbüttel,Ausländerinnen und Ausländer,K03158,9
2008,Göttingen,Ausländerinnen und Ausländer,K03159,117
2008,Statistische Region Braunschweig,Ausländerinnen und Ausländer,K031,447
2008,Hannover  Region,Ausländerinnen und Ausländer,K03241,395
2008,dav. Hannover  Lhst.,Ausländerinnen und Ausländer,K03241001,237
2008,dav. Hannover  Umland,Ausländerinnen und Ausländer,K03241999,158
2008,Diepholz,Ausländerinnen und Ausländer,K03251,61
2008,Hameln-Pyrmont,Ausländerinnen und Ausländer,K03252,75
2008,Hildesheim,Ausländerinnen und Ausländer,K03254,109
2008,Holzminden,Ausländerinnen und Ausländer,K03255,10
2008,Nienburg (Weser),Ausländerinnen und Ausländer,K03256,34
2008,Schaumburg,Ausländerinnen und Ausländer,K03257,50
